tier,equipe,plan_cible,angle_commercial,voie,langue_pitch
Tier A — Staff international / EN native,UAE Team Emirates,Pro wedge,EN native · scouting + PPR,EN,EN
Tier A,Israel-Premier Tech,Pro wedge,EN ops · marketplace staff,EN,EN
Tier A,EF Education-EasyPost,Pro wedge,US-owned · EN first,EN,EN
Tier A,Lidl-Trek,Pro wedge,US/German · EN staff,EN,EN
Tier B — FR sur Ippogee · wedge,TotalEnergies,Pro → Enterprise,Staff EN · coexistence Ippogee,EN,EN
Tier B,Groupama-FDJ,Pro → Enterprise,Wedge PPR M6 · migration M18,EN,EN
Tier B,Decathlon AG2R,Pro → Enterprise,Scouting cross-border,EN,EN
Tier B,Cofidis,Pro wedge,Performance module,EN,EN
Tier C — Continental WT feeder,Uno-X Mobility,Continental $179,ProTeam path,EN,EN
Tier C,Q36.5 Pro Cycling,Continental,EN · talent marketplace,EN,EN
Tier D — Lock-in Ippogee fort,Ineos Grenadiers,Enterprise M24+,Long cycle · références requises,EN,EN
Tier D,Visma-Lease a Bike,Enterprise M24+,Idem,EN,EN
